obtv-admin@tustin-obviu2:~/obview$ docker compose logs | grep ERROR
obview_db   | 2026-08-16 05:02:59.154 UTC [61] ERROR:  relation "idx_comment_reactions_unique_anonymous" already exists
obview_db   | 2026-08-16 05:02:59.155 UTC [61] ERROR:  relation "idx_comment_reactions_unique_user" already exists
obview_db   | 2026-08-16 05:02:59.155 UTC [61] ERROR:  relation "idx_comments_file_id" already exists
obview_db   | 2026-08-16 05:02:59.155 UTC [61] ERROR:  relation "idx_comments_timestamp" already exists
obview_db   | 2026-08-16 05:02:59.155 UTC [61] ERROR:  relation "idx_comments_unified_file_id" already exists
obview_db   | 2026-08-16 05:02:59.156 UTC [61] ERROR:  relation "idx_comments_unified_file_timestamp" already exists
obview_db   | 2026-08-16 05:02:59.156 UTC [61] ERROR:  relation "idx_comments_unified_parent_id" already exists
obview_db   | 2026-08-16 05:02:59.156 UTC [61] ERROR:  relation "idx_comments_unified_user_id" already exists
obview_db   | 2026-08-16 05:02:59.156 UTC [61] ERROR:  relation "idx_comments_user_id" already exists
obview_db   | 2026-08-16 05:02:59.156 UTC [61] ERROR:  relation "idx_files_deleted_at" already exists
obview_db   | 2026-08-16 05:02:59.157 UTC [61] ERROR:  relation "idx_files_folder_id" already exists
obview_db   | 2026-08-16 05:02:59.157 UTC [61] ERROR:  relation "idx_files_is_latest_version" already exists
obview_db   | 2026-08-16 05:02:59.157 UTC [61] ERROR:  relation "idx_files_project_id" already exists
obview_db   | 2026-08-16 05:02:59.157 UTC [61] ERROR:  relation "idx_files_share_token" already exists
obview_db   | 2026-08-16 05:02:59.157 UTC [61] ERROR:  relation "idx_folders_created_by_id" already exists
obview_db   | 2026-08-16 05:02:59.157 UTC [61] ERROR:  relation "idx_folders_deleted_at" already exists
obview_db   | 2026-08-16 05:02:59.158 UTC [61] ERROR:  relation "idx_folders_name" already exists
obview_db   | 2026-08-16 05:02:59.158 UTC [61] ERROR:  relation "idx_folders_parent_id" already exists
obview_db   | 2026-08-16 05:02:59.158 UTC [61] ERROR:  relation "idx_folders_project_id" already exists
obview_db   | 2026-08-16 05:02:59.158 UTC [61] ERROR:  relation "idx_invitations_email" already exists
obview_db   | 2026-08-16 05:02:59.158 UTC [61] ERROR:  relation "idx_invitations_token" already exists
obview_db   | 2026-08-16 05:02:59.159 UTC [61] ERROR:  relation "idx_password_resets_token" already exists
obview_db   | 2026-08-16 05:02:59.159 UTC [61] ERROR:  relation "idx_password_resets_user_id" already exists
obview_db   | 2026-08-16 05:02:59.159 UTC [61] ERROR:  relation "idx_project_users_project_id" already exists
obview_db   | 2026-08-16 05:02:59.159 UTC [61] ERROR:  relation "idx_project_users_user_id" already exists
obview_db   | 2026-08-16 05:02:59.159 UTC [61] ERROR:  relation "idx_projects_deleted_at" already exists
obview_db   | 2026-08-16 05:02:59.159 UTC [61] ERROR:  relation "idx_projects_folder_id" already exists
obview_db   | 2026-08-16 05:02:59.160 UTC [61] ERROR:  relation "idx_public_comments_creator_token" already exists
obview_db   | 2026-08-16 05:02:59.160 UTC [61] ERROR:  relation "idx_public_comments_file_id" already exists
obview_db   | 2026-08-16 05:02:59.160 UTC [61] ERROR:  relation "idx_public_comments_parent_id" already exists
obview_db   | 2026-08-16 05:02:59.160 UTC [61] ERROR:  relation "idx_video_processing_file_id" already exists
obview_db   | 2026-08-16 05:02:59.160 UTC [61] ERROR:  relation "idx_video_processing_status" already exists
obview_db   | 2026-08-16 05:02:59.160 UTC [61] ERROR:  relation "qc_reports_file_id_idx" already exists
obview_db   | 2026-08-16 05:02:59.161 UTC [61] ERROR:  relation "recent_projects_user_opened_idx" already exists
obview_db   | 2026-08-16 05:02:59.161 UTC [61] ERROR:  relation "share_links_scope_idx" already exists
obview_db   | 2026-08-16 05:02:59.161 UTC [61] ERROR:  relation "share_links_token_idx" already exists
obview_db   | 2026-08-16 05:02:59.161 UTC [61] ERROR:  relation "transcripts_file_id_idx" already exists
obview_db   | 2026-08-16 05:02:59.161 UTC [61] ERROR:  constraint "activity_logs_user_id_fkey" for relation "activity_logs" already exists
obview_db   | 2026-08-16 05:02:59.162 UTC [61] ERROR:  constraint "api_sessions_user_id_fkey" for relation "api_sessions" already exists
obview_db   | 2026-08-16 05:02:59.162 UTC [61] ERROR:  constraint "approvals_file_id_fkey" for relation "approvals" already exists
obview_db   | 2026-08-16 05:02:59.162 UTC [61] ERROR:  constraint "approvals_user_id_fkey" for relation "approvals" already exists
obview_db   | 2026-08-16 05:02:59.162 UTC [61] ERROR:  constraint "comment_reactions_comment_id_fkey" for relation "comment_reactions" already exists
obview_db   | 2026-08-16 05:02:59.162 UTC [61] ERROR:  constraint "comment_reactions_user_id_fkey" for relation "comment_reactions" already exists
obview_db   | 2026-08-16 05:02:59.162 UTC [61] ERROR:  constraint "comments_file_id_fkey" for relation "comments" already exists
obview_db   | 2026-08-16 05:02:59.162 UTC [61] ERROR:  constraint "comments_parent_id_fkey" for relation "comments" already exists
obview_db   | 2026-08-16 05:02:59.163 UTC [61] ERROR:  constraint "comments_user_id_fkey" for relation "comments" already exists
obview_db   | 2026-08-16 05:02:59.163 UTC [61] ERROR:  constraint "files_folder_id_fkey" for relation "files" already exists
obview_db   | 2026-08-16 05:02:59.163 UTC [61] ERROR:  constraint "files_project_id_fkey" for relation "files" already exists
obview_db   | 2026-08-16 05:02:59.163 UTC [61] ERROR:  constraint "files_requested_changes_by_id_fkey" for relation "files" already exists
obview_db   | 2026-08-16 05:02:59.163 UTC [61] ERROR:  constraint "files_uploaded_by_id_fkey" for relation "files" already exists
obview_db   | 2026-08-16 05:02:59.163 UTC [61] ERROR:  constraint "fk_comment_reactions_comment_id" for relation "comment_reactions" already exists
obview_db   | 2026-08-16 05:02:59.164 UTC [61] ERROR:  constraint "fk_comment_reactions_user_id" for relation "comment_reactions" already exists
obview_db   | 2026-08-16 05:02:59.164 UTC [61] ERROR:  constraint "fk_comments_unified_file_id" for relation "comments_unified" already exists
