obview_db   | 2026-08-12 20:07:10.077 UTC [27] LOG:  checkpoint complete: wrote 41 buffers (0.3%); 0 WAL file(s) added, 0 removed, 1 recycled; write=4.012 s, sync=0.001 s, total=4.016 s; sync files=29, longest=0.001 s, average=0.001 s; distance=373 kB, estimate=834 kB; lsn=0/9203D738, redo lsn=0/92036418
obview_db   | 2026-08-12 20:12:06.088 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 20:12:08.097 UTC [27] LOG:  checkpoint complete: wrote 21 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.007 s, sync=0.001 s, total=2.009 s; sync files=12, longest=0.001 s, average=0.001 s; distance=187 kB, estimate=769 kB; lsn=0/920699B0, redo lsn=0/920653E8
obview_db   | 2026-08-12 20:17:06.109 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 20:17:09.524 UTC [27] LOG:  checkpoint complete: wrote 35 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.412 s, sync=0.001 s, total=3.415 s; sync files=27, longest=0.001 s, average=0.001 s; distance=270 kB, estimate=719 kB; lsn=0/920AE340, redo lsn=0/920A8CE8
obview_db   | 2026-08-12 20:22:06.624 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 20:22:19.260 UTC [27] LOG:  checkpoint complete: wrote 128 buffers (0.8%); 0 WAL file(s) added, 0 removed, 0 recycled; write=12.634 s, sync=0.001 s, total=12.637 s; sync files=74, longest=0.001 s, average=0.001 s; distance=774 kB, estimate=774 kB; lsn=0/92176D18, redo lsn=0/9216A678
obview_db   | 2026-08-12 20:27:06.361 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 20:27:08.570 UTC [27] LOG:  checkpoint complete: wrote 23 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.207 s, sync=0.001 s, total=2.210 s; sync files=12, longest=0.001 s, average=0.001 s; distance=175 kB, estimate=714 kB; lsn=0/9219A3A8, redo lsn=0/92196440
obview_db   | 2026-08-12 20:32:06.670 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 20:32:08.779 UTC [27] LOG:  checkpoint complete: wrote 22 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.107 s, sync=0.001 s, total=2.110 s; sync files=14, longest=0.001 s, average=0.001 s; distance=158 kB, estimate=658 kB; lsn=0/921C1DC0, redo lsn=0/921BDD18
obview_db   | 2026-08-12 20:37:06.879 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 20:37:11.294 UTC [27] LOG:  checkpoint complete: wrote 45 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.412 s, sync=0.001 s, total=4.415 s; sync files=16, longest=0.001 s, average=0.001 s; distance=254 kB, estimate=618 kB; lsn=0/922024B0, redo lsn=0/921FD520
obview_db   | 2026-08-12 20:42:06.394 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 20:42:09.807 UTC [27] LOG:  checkpoint complete: wrote 35 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.410 s, sync=0.001 s, total=3.414 s; sync files=26, longest=0.001 s, average=0.001 s; distance=241 kB, estimate=580 kB; lsn=0/9223D8E0, redo lsn=0/92239CD8
obview_db   | 2026-08-12 20:47:06.907 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 20:47:10.221 UTC [27] LOG:  checkpoint complete: wrote 34 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.311 s, sync=0.001 s, total=3.314 s; sync files=27, longest=0.001 s, average=0.001 s; distance=208 kB, estimate=543 kB; lsn=0/92288CB0, redo lsn=0/9226DFE0
obview_db   | 2026-08-12 20:52:06.259 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 20:52:16.391 UTC [27] LOG:  checkpoint complete: wrote 102 buffers (0.6%); 0 WAL file(s) added, 0 removed, 0 recycled; write=10.129 s, sync=0.001 s, total=10.132 s; sync files=53, longest=0.001 s, average=0.001 s; distance=627 kB, estimate=627 kB; lsn=0/92312C10, redo lsn=0/9230AF98
obview_db   | 2026-08-12 20:57:06.491 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 20:57:14.115 UTC [27] LOG:  checkpoint complete: wrote 77 buffers (0.5%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.622 s, sync=0.001 s, total=7.625 s; sync files=51, longest=0.001 s, average=0.001 s; distance=463 kB, estimate=611 kB; lsn=0/92386358, redo lsn=0/9237EEE8
obview_db   | 2026-08-12 21:02:06.216 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 21:02:11.537 UTC [27] LOG:  checkpoint complete: wrote 56 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.318 s, sync=0.001 s, total=5.322 s; sync files=45, longest=0.001 s, average=0.001 s; distance=371 kB, estimate=587 kB; lsn=0/923E44E0, redo lsn=0/923DBC28
obview_db   | 2026-08-12 21:07:06.547 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 21:07:16.587 UTC [27] LOG:  checkpoint complete: wrote 101 buffers (0.6%); 0 WAL file(s) added, 0 removed, 0 recycled; write=10.036 s, sync=0.002 s, total=10.040 s; sync files=62, longest=0.001 s, average=0.001 s; distance=613 kB, estimate=613 kB; lsn=0/9247E1C0, redo lsn=0/92475278
obview_db   | 2026-08-12 21:12:06.687 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 21:12:13.912 UTC [27] LOG:  checkpoint complete: wrote 73 buffers (0.4%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.222 s, sync=0.001 s, total=7.225 s; sync files=53, longest=0.001 s, average=0.001 s; distance=462 kB, estimate=598 kB; lsn=0/924EC930, redo lsn=0/924E8DD0
obview_db   | 2026-08-12 21:17:07.012 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 21:17:10.025 UTC [27] LOG:  checkpoint complete: wrote 31 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.010 s, sync=0.001 s, total=3.013 s; sync files=23, longest=0.001 s, average=0.001 s; distance=185 kB, estimate=557 kB; lsn=0/9251B7C0, redo lsn=0/92517500
obview_db   | 2026-08-12 21:22:07.125 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 21:22:09.035 UTC [27] LOG:  checkpoint complete: wrote 20 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.907 s, sync=0.001 s, total=1.911 s; sync files=13, longest=0.001 s, average=0.001 s; distance=106 kB, estimate=512 kB; lsn=0/92531FF0, redo lsn=0/92531FB8
obview_db   | 2026-08-12 21:27:07.136 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 21:27:09.447 UTC [27] LOG:  checkpoint complete: wrote 24 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.308 s, sync=0.001 s, total=2.311 s; sync files=17, longest=0.001 s, average=0.001 s; distance=122 kB, estimate=473 kB; lsn=0/92550B38, redo lsn=0/92550AC8
obview_db   | 2026-08-12 21:32:07.547 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 21:32:09.055 UTC [27] LOG:  checkpoint complete: wrote 16 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.506 s, sync=0.001 s, total=1.509 s; sync files=11, longest=0.001 s, average=0.001 s; distance=99 kB, estimate=435 kB; lsn=0/9256D4C8, redo lsn=0/925698F8
obview_db   | 2026-08-12 21:37:07.126 UTC [27] LOG:  checkpoint starting: time
